Year,Month,Decimal Date,Carbon_Dioxide,Seasonally_Adjusted_CO2,Carbon_Dioxide_Fit
1991,5,1991/3699,359.34,356.21,358.66
1991,6,1991/4548,358.24,355.87,357.97
1991,7,1991/537,356.17,355.4,356.43
1991,8,1991/6219,354.02,355.41,354.3
1991,9,1991/7068,352.15,355.37,352.56
1991,10,1991/789,352.21,355.55,352.53
1991,11,1991/874,353.75,355.85,353.84
1991,12,1991/9562,354.99,355.86,355.13
1992,1,1992/041,355.99,355.96,356.09
1992,2,1992/1257,356.72,356.04,356.82
1992,3,1992/2049,357.81,356.34,357.68
1992,4,1992/2896,359.15,356.52,358.91
1992,5,1992/3716,359.66,356.53,359.44
1992,6,1992/4563,359.25,356.9,358.69
1992,7,1992/5383,357.02,356.27,357.11
1992,8,1992/623,355,356.43,354.96
1992,9,1992/7077,353.01,356.25,353.2
1992,10,1992/7896,353.31,356.65,353.15
1992,11,1992/8743,354.16,356.27,354.44
1992,12,1992/9563,355.4,356.27,355.71
1993,1,1993/0411,356.7,356.68,356.65
1993,2,1993/126,357.16,356.48,357.37
1993,3,1993/2027,358.38,356.93,358.2
1993,4,1993/2877,359.46,356.85,359.44
1993,5,1993/3699,360.28,357.13,360.04
1993,6,1993/4548,359.6,357.21,359.35
1993,7,1993/537,357.57,356.79,357.83
1993,8,1993/6219,355.52,356.93,355.75
1993,9,1993/7068,353.69,356.93,354.06
1993,10,1993/789,353.99,357.35,354.11
1993,11,1993/874,355.33,357.46,355.51
1993,12,1993/9562,356.8,357.68,356.91
1994,1,1994/0411,358.37,358.35,357.97
1994,2,1994/126,358.91,358.22,358.8
1994,3,1994/2027,359.97,358.52,359.73
1994,4,1994/2877,361.27,358.64,361.07
1994,5,1994/3699,361.69,358.53,361.74
1994,6,1994/4548,360.94,358.55,361.12
1994,7,1994/537,359.55,358.76,359.67
1994,8,1994/6219,357.48,358.89,357.64
1994,9,1994/7068,355.84,359.09,356
1994,10,1994/789,356,359.37,356.08
1994,11,1994/874,357.58,359.71,357.52
1994,12,1994/9562,359.04,359.92,358.94
1995,1,1995/0411,359.97,359.95,360.02
1995,2,1995/126,361,360.31,360.87
1995,3,1995/2027,361.64,360.18,361.8
1995,4,1995/2877,363.45,360.82,363.15
1995,5,1995/3699,363.8,360.63,363.83
1995,6,1995/4548,363.26,360.86,363.21
1995,7,1995/537,361.9,361.11,361.74
1995,8,1995/6219,359.45,360.87,359.69
1995,9,1995/7068,358.05,361.31,358.03
1995,10,1995/789,357.76,361.14,358.09
1995,11,1995/874,359.56,361.7,359.51
1995,12,1995/9562,360.7,361.58,360.91
1996,1,1996/041,362.05,362.03,361.97
1996,2,1996/1257,363.24,362.56,362.78
1996,3,1996/2049,364.02,362.53,363.72
1996,4,1996/2896,364.72,362.05,365.02
1996,5,1996/3716,365.41,362.24,365.62
1996,6,1996/4563,364.97,362.58,364.92
1996,7,1996/5383,363.65,362.89,363.38
1996,8,1996/623,361.48,362.93,361.26
1996,9,1996/7077,359.45,362.73,359.53
1996,10,1996/7896,359.61,363,359.53
1996,11,1996/8743,360.76,362.89,360.88
1996,12,1996/9563,362.33,363.21,362.2
1997,1,1997/0411,363.18,363.16,363.18
1997,2,1997/126,363.99,363.3,363.93
1997,3,1997/2027,364.56,363.1,364.8
1997,4,1997/2877,366.36,363.71,366.08
1997,5,1997/3699,366.8,363.61,366.71
1997,6,1997/4548,365.63,363.21,366.06
1997,7,1997/537,364.47,363.68,364.57
1997,8,1997/6219,362.5,363.93,362.52
1997,9,1997/7068,360.19,363.47,360.89
1997,10,1997/789,360.77,364.18,361.01
1997,11,1997/874,362.43,364.58,362.52
1997,12,1997/9562,364.28,365.17,364.03
1998,1,1998/0411,365.33,365.31,365.21
1998,2,1998/126,366.15,365.45,366.16
1998,3,1998/2027,367.31,365.84,367.19
1998,4,1998/2877,368.61,365.96,368.65
1998,5,1998/3699,369.3,366.1,369.44
1998,6,1998/4548,368.88,366.45,368.91
1998,7,1998/537,367.64,366.84,367.51
1998,8,1998/6219,365.77,367.21,365.52
1998,9,1998/7068,363.9,367.2,363.9
1998,10,1998/789,364.24,367.65,363.99
1998,11,1998/874,365.46,367.62,365.44
1998,12,1998/9562,366.97,367.86,366.85
1999,1,1999/0411,368.15,368.13,367.89
1999,2,1999/126,368.87,368.17,368.68
1999,3,1999/2027,369.59,368.11,369.54
1999,4,1999/2877,371.14,368.47,370.81
1999,5,1999/3699,371,367.79,371.4
1999,6,1999/4548,370.35,367.92,370.67
1999,7,1999/537,369.27,368.47,369.09
1999,8,1999/6219,366.93,368.37,366.92
1999,9,1999/7068,364.64,367.94,365.15
1999,10,1999/789,365.13,368.56,365.13
1999,11,1999/874,366.68,368.84,366.5
1999,12,1999/9562,368.01,368.9,367.84
2000,1,2000/041,369.14,369.12,368.85
2000,2,2000/1257,369.46,368.76,369.61
2000,3,2000/2049,370.51,369,370.53
2000,4,2000/2896,371.66,368.96,371.83
2000,5,2000/3716,371.83,368.61,372.44
2000,6,2000/4563,371.69,369.28,371.75
2000,7,2000/5383,370.12,369.35,370.23
2000,8,2000/623,368.12,369.59,368.13
2000,9,2000/7077,366.62,369.95,366.45
2000,10,2000/7896,366.73,370.17,366.51
2000,11,2000/8743,368.29,370.46,367.93
2000,12,2000/9563,369.53,370.42,369.33
2001,1,2001/0411,370.28,370.26,370.36
2001,2,2001/126,371.5,370.79,371.16
2001,3,2001/2027,372.12,370.63,372.06
2001,4,2001/2877,372.87,370.18,373.37
2001,5,2001/3699,374.02,370.79,374.02
2001,6,2001/4548,373.31,370.86,373.34
2001,7,2001/537,371.62,370.81,371.82
2001,8,2001/6219,369.55,371,369.71
2001,9,2001/7068,367.96,371.29,368
2001,10,2001/789,368.1,371.55,368.06
2001,11,2001/874,369.68,371.86,369.52
2001,12,2001/9562,371.24,372.14,370.95
2002,1,2002/0411,372.44,372.41,372.03
2002,2,2002/126,373.08,372.38,372.88
2002,3,2002/2027,373.52,372.03,373.84
2002,4,2002/2877,374.86,372.16,375.22
2002,5,2002/3699,375.55,372.31,375.94
2002,6,2002/4548,375.4,372.94,375.35
2002,7,2002/537,374.02,373.21,373.9
2002,8,2002/6219,371.48,372.93,371.87
2002,9,2002/7068,370.7,374.04,370.24
2002,10,2002/789,370.25,373.71,370.37
2002,11,2002/874,372.08,374.26,371.9
2002,12,2002/9562,373.78,374.69,373.4
2003,1,2003/0411,374.68,374.66,374.54
2003,2,2003/126,375.62,374.92,375.44
2003,3,2003/2027,376.11,374.61,376.43
2003,4,2003/2877,377.65,374.95,377.85
2003,5,2003/3699,378.35,375.1,378.58
2003,6,2003/4548,378.13,375.66,377.98
2003,7,2003/537,376.61,375.8,376.5
2003,8,2003/6219,374.48,375.94,374.42
2003,9,2003/7068,372.98,376.33,372.73
2003,10,2003/789,373,376.48,372.8
2003,11,2003/874,374.34,376.54,374.26
2003,12,2003/9562,375.69,376.6,375.68
2004,1,2004/041,376.79,376.76,376.74
2004,2,2004/1257,377.36,376.65,377.56
2004,3,2004/2049,378.39,376.87,378.5
2004,4,2004/2896,380.5,377.76,379.83
2004,5,2004/3716,380.61,377.35,380.44
2004,6,2004/4563,379.55,377.1,379.73
2004,7,2004/5383,377.76,376.99,378.17
2004,8,2004/623,375.84,377.32,376.03
2004,9,2004/7077,374.05,377.42,374.32
2004,10,2004/7896,374.22,377.7,374.4
2004,11,2004/8743,375.84,378.04,375.88
2004,12,2004/9563,377.44,378.35,377.35
2005,1,2005/0411,378.34,378.31,378.48
2005,2,2005/126,379.61,378.9,379.38
2005,3,2005/2027,380.17,378.67,380.38
2005,4,2005/2877,382.05,379.33,381.81
2005,5,2005/3699,382.24,378.96,382.56
2005,6,2005/4548,382.08,379.6,381.97
2005,7,2005/537,380.67,379.85,380.5
2005,8,2005/6219,378.67,380.13,378.43
